Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Fe_Si_Ratio
-64.85572959604312,-64.44352844187989,3.894463346916581,4.857261584334992,0.12618444460568304
-64.44352844187989,-64.03132728771666,2.0968528125213197,3.0452739209198683,0.12618444460568304
-64.44352844187989,-64.03132728771666,3.0452739209198683,3.993695029318417,0.12618444460568304
-64.44352844187989,-64.03132728771666,3.993695029318417,4.942116137716965,0.12618444460568304
-64.03132728771666,-63.619126133553436,2.2303656278342032,3.164880323361558,0.12618444460568304
-64.03132728771666,-63.619126133553436,3.164880323361558,4.099395018888913,0.12618444460568304
-64.03132728771666,-63.619126133553436,4.099395018888913,5.033909714416268,0.12618444460568304
-63.619126133553436,-63.20692497939021,-142.2366554952887,-141.31559831224695,0.02184595201972476
-63.619126133553436,-63.20692497939021,-141.31559831224695,-140.3945411292052,0.02184595201972476
-63.619126133553436,-63.20692497939021,-140.3945411292052,-139.47348394616347,0.02184595201972476
-63.619126133553436,-63.20692497939021,-139.47348394616347,-138.55242676312173,0.02184595201972476
-63.619126133553436,-63.20692497939021,-64.86785211978258,-63.946794936740844,0.09905821135707615
-63.619126133553436,-63.20692497939021,-63.946794936740844,-63.025737753699104,0.09905821135707615
-63.619126133553436,-63.20692497939021,-63.025737753699104,-62.104680570657365,0.09905821135707615
-63.619126133553436,-63.20692497939021,-62.104680570657365,-61.183623387615626,0.09905821135707615
-63.20692497939021,-62.79472382522698,-141.86282026485185,-140.95479217591975,0.019612477204235975
-63.20692497939021,-62.79472382522698,-140.95479217591975,-140.04676408698765,0.019612477204235975
-63.20692497939021,-62.79472382522698,-140.04676408698765,-139.13873599805555,0.019612477204235975
-63.20692497939021,-62.79472382522698,-64.68043270562345,-63.77240461669135,0.09905821135707615
-63.20692497939021,-62.79472382522698,-63.77240461669135,-62.86437652775925,0.09905821135707615
-63.20692497939021,-62.79472382522698,-62.86437652775925,-61.95634843882715,0.09905821135707615
-62.79472382522698,-62.382522671063754,-142.39285708370056,-141.49744891902677,0.019612477204235975
-62.79472382522698,-62.382522671063754,-141.49744891902677,-140.60204075435297,0.019612477204235975
-62.79472382522698,-62.382522671063754,-140.60204075435297,-139.70663258967917,0.019612477204235975
-62.79472382522698,-62.382522671063754,-139.70663258967917,-138.81122442500538,0.019612477204235975
-62.79472382522698,-62.382522671063754,-64.4923467570803,-63.5969385924065,0.09905821135707615
-62.79472382522698,-62.382522671063754,-63.5969385924065,-62.701530427732706,0.09905821135707615
-62.79472382522698,-62.382522671063754,-62.701530427732706,-61.80612226305891,0.09905821135707615
-62.382522671063754,-61.970321516900526,-142.02328993351387,-141.1401106296421,0.019612477204235975
-62.382522671063754,-61.970321516900526,-141.1401106296421,-140.25693132577032,0.019612477204235975
-62.382522671063754,-61.970321516900526,-140.25693132577032,-139.37375202189855,0.019612477204235975
-62.382522671063754,-61.970321516900526,-65.18669049666983,-64.30351119279806,0.09905821135707615
-62.382522671063754,-61.970321516900526,-64.30351119279806,-63.420331888926285,0.09905821135707615
-62.382522671063754,-61.970321516900526,-63.420331888926285,-62.537152585054514,0.09905821135707615
-62.382522671063754,-61.970321516900526,-62.537152585054514,-61.65397328118274,0.09905821135707615
-62.382522671063754,-61.970321516900526,1.9349365975847377,2.8181159014565083,0.04907696027536455
-62.382522671063754,-61.970321516900526,2.8181159014565083,3.701295205328279,0.04907696027536455
-62.382522671063754,-61.970321516900526,3.701295205328279,4.584474509200049,0.04907696027536455
-61.970321516900526,-61.5581203627373,-141.6617238080671,-140.79039934915954,0.01737900238874719
-61.970321516900526,-61.5581203627373,-140.79039934915954,-139.91907489025198,0.01737900238874719
-61.970321516900526,-61.5581203627373,-139.91907489025198,-139.0477504313444,0.01737900238874719
-61.970321516900526,-61.5581203627373,2.106811911681234,2.9781363705887998,0.04907696027536455
-61.970321516900526,-61.5581203627373,2.9781363705887998,3.8494608294963655,0.04907696027536455
-61.970321516900526,-61.5581203627373,3.8494608294963655,4.720785288403931,0.04907696027536455
-61.5581203627373,-61.14591920857407,-64.78310631917083,-63.92327875438852,0.13601494827574595
-61.5581203627373,-61.14591920857407,-63.92327875438852,-63.06345118960621,0.13601494827574595
-61.5581203627373,-61.14591920857407,-63.06345118960621,-62.203623624823905,0.13601494827574595
-61.5581203627373,-61.14591920857407,-62.203623624823905,-61.3437960600416,0.13601494827574595
-61.5581203627373,-61.14591920857407,1.4236161690668325,2.28344373384914,0.04907696027536455
-61.5581203627373,-61.14591920857407,2.28344373384914,3.143271298631447,0.04907696027536455
-61.5581203627373,-61.14591920857407,3.143271298631447,4.003098863413754,0.04907696027536455
-61.5581203627373,-61.14591920857407,4.003098863413754,4.862926428196062,0.04907696027536455
-61.14591920857407,-60.73371805441084,-64.58040815592403,-63.7317346864823,0.13601494827574595
-61.14591920857407,-60.73371805441084,-63.7317346864823,-62.88306121704056,0.13601494827574595
-61.14591920857407,-60.73371805441084,-62.88306121704056,-62.03438774759883,0.13601494827574595
-61.14591920857407,-60.73371805441084,1.616122460531301,2.464795929973036,0.04907696027536455
-61.14591920857407,-60.73371805441084,2.464795929973036,3.313469399414771,0.04907696027536455
-61.14591920857407,-60.73371805441084,3.313469399414771,4.162142868856506,0.04907696027536455
-60.73371805441084,-60.321516900247616,-64.3769939471672,-63.53914607721913,0.13601494827574595
-60.73371805441084,-60.321516900247616,-63.53914607721913,-62.701298207271066,0.13601494827574595
-60.73371805441084,-60.321516900247616,-62.701298207271066,-61.863450337323,0.13601494827574595
-60.321516900247616,-59.90931574608439,-65.00012170306869,-64.17278444913393,0.13601494827574595
-60.321516900247616,-59.90931574608439,-64.17278444913393,-63.34544719519917,0.13601494827574595
-60.321516900247616,-59.90931574608439,-63.34544719519917,-62.51810994126441,0.13601494827574595
-60.321516900247616,-59.90931574608439,-62.51810994126441,-61.690772687329655,0.13601494827574595
-60.321516900247616,-59.90931574608439,2.014195865646684,2.8415331195814417,0.08889731672034187
